sep=,
Type,FSVA3013,
Version,1.40,
Date,26.Mar 2023,
Mode,ANALYZER,
Preamplifier,OFF,
Transducer,OFF,
Center Freq,79500.000000,Hz
Freq Offset,0.000000,Hz
Start,9100.000000,Hz
Stop,149900.000000,Hz
Span,140800.000000,Hz
Ref Level,62.000000,dBµV
Level Offset,0.000000,dB
Rf Att,0.000000,dB
El Att,0.000000,dB
RBW,200.000000,Hz
VBW,2000.000000,Hz
SWT,0.029500,s
Sweep Count,10,
Window,1,Frequency Sweep
Ref Position,100.000000,%
Level Range,100.000000,dB
x-Axis,LIN,
y-Axis,LOG,
x-Unit,Hz,
y-Unit,dBµV,
Trace,1,
Trace Mode,AVERAGE,
Detector,RMS,
Values,705,
9100,-0.2155609130859375,
9300,-1.3564910888671875,
9500,-0.11280059814453125,
9700,1.70538330078125,
9900,5.50104522705078125,
10100,2.742218017578125,
10300,5.27740478515625,
10500,6.79312896728515625,
10700,6.56243133544921875,
10900,7.41785430908203125,
11100,13.42247772216796875,
11300,15.6859588623046875,
11500,18.93538665771484375,
11700,22.41281890869140625,
11900,30.2085418701171875,
12100,26.309906005859375,
12300,21.44324493408203125,
12500,19.11359405517578125,
12700,20.83984375,
12900,17.5402984619140625,
13100,17.2224273681640625,
13300,14.16756439208984375,
13500,13.33819580078125,
13700,10.55340576171875,
13900,11.7418975830078125,
14100,10.860504150390625,
14300,9.4072265625,
14500,7.38755035400390625,
14700,9.52576446533203125,
14900,8.99993133544921875,
15100,6.484619140625,
15300,8.75302886962890625,
15500,8.79813385009765625,
15700,11.00389862060546875,
15900,12.656280517578125,
16100,12.6273345947265625,
16300,9.71318817138671875,
16500,8.9090423583984375,
16700,10.462738037109375,
16900,11.45404052734375,
17100,12.210968017578125,
17300,10.41953277587890625,
17500,10.56510162353515625,
17700,9.45323944091796875,
17900,13.2050933837890625,
18100,16.05088043212890625,
18300,15.724761962890625,
18500,23.887939453125,
18700,33.36040496826171875,
18900,22.11586761474609375,
19100,17.420562744140625,
19300,18.32452392578125,
19500,19.5442657470703125,
19700,17.061920166015625,
19900,18.22142791748046875,
20100,18.72872161865234375,
20300,19.04628753662109375,
20500,17.90606689453125,
20700,14.85878753662109375,
20900,15.2218170166015625,
21100,15.13684844970703125,
21300,11.47272491455078125,
21500,11.6306915283203125,
21700,11.2516632080078125,
21900,12.3526611328125,
22100,12.33730316162109375,
22300,12.482452392578125,
22500,13.9727783203125,
22700,17.8348541259765625,
22900,20.467071533203125,
23100,21.8534393310546875,
23300,20.902801513671875,
23500,28.2739410400390625,
23700,29.49196624755859375,
23900,31.80396270751953125,
24100,35.04769134521484375,
24300,46.81433868408203125,
24500,52.676280975341796875,
24700,41.6352691650390625,
24900,34.12932586669921875,
25100,30.7689361572265625,
25300,27.26043701171875,
25500,22.8135223388671875,
25700,22.4409637451171875,
25900,22.320953369140625,
26100,17.6256256103515625,
26300,17.7651519775390625,
26500,15.614227294921875,
26700,15.473724365234375,
26900,17.58522796630859375,
27100,17.05390167236328125,
27300,13.61606597900390625,
27500,20.108154296875,
27700,18.42488861083984375,
27900,19.00159454345703125,
28100,25.73412322998046875,
28300,33.08235931396484375,
28500,23.34477996826171875,
28700,19.2703704833984375,
28900,16.84676361083984375,
29100,20.85355377197265625,
29300,14.568603515625,
29500,15.8917999267578125,
29700,17.30532073974609375,
29900,16.1099395751953125,
30100,16.21659088134765625,
30300,14.4130859375,
30500,15.97348785400390625,
30700,12.67668914794921875,
30900,11.5391998291015625,
31100,9.70066070556640625,
31300,10.87091064453125,
31500,13.15261077880859375,
31700,13.6975860595703125,
31900,14.4693603515625,
32100,12.04439544677734375,
32300,10.80342864990234375,
32500,12.3274078369140625,
32700,13.36177825927734375,
32900,10.837432861328125,
33100,16.060577392578125,
33300,14.91998291015625,
33500,12.1012115478515625,
33700,12.62766265869140625,
33900,13.767120361328125,
34100,14.0852508544921875,
34300,14.189910888671875,
34500,20.3959197998046875,
34700,13.1863555908203125,
34900,13.2995147705078125,
35100,13.767669677734375,
35300,14.7226409912109375,
35500,13.2148590087890625,
35700,14.449188232421875,
35900,14.46209716796875,
36100,12.67649078369140625,
36300,10.7368011474609375,
36500,12.28052520751953125,
36700,14.432098388671875,
36900,13.6608428955078125,
37100,12.05572509765625,
37300,16.71373748779296875,
37500,25.2594146728515625,
37700,14.3942108154296875,
37900,8.203216552734375,
38100,7.58316802978515625,
38300,8.35482025146484375,
38500,8.13854217529296875,
38700,8.92242431640625,
38900,8.98126983642578125,
39100,5.316558837890625,
39300,8.68744659423828125,
39500,17.08892822265625,
39700,7.5928497314453125,
39900,8.38869476318359375,
40100,26.69274139404296875,
40300,36.23055267333984375,
40500,18.65177154541015625,
40700,5.74654388427734375,
40900,10.57457733154296875,
41100,16.7214508056640625,
41300,6.8116455078125,
41500,7.07543182373046875,
41700,7.76999664306640625,
41900,8.57082366943359375,
42100,6.82611083984375,
42300,8.0048675537109375,
42500,9.82295989990234375,
42700,8.70062255859375,
42900,8.78829193115234375,
43100,8.80973052978515625,
43300,11.46697235107421875,
43500,12.5588531494140625,
43700,12.6834869384765625,
43900,13.12026214599609375,
44100,11.9089813232421875,
44300,11.1440582275390625,
44500,11.80434417724609375,
44700,14.19087982177734375,
44900,12.73847198486328125,
45100,14.96149444580078125,
45300,15.403472900390625,
45500,12.233551025390625,
